datetime,Temp at 16m (°C),Temp at 22m (°C),Temp at 30m (°C)
7/25/2013 10:00,8.84,8.17,8.13
7/25/2013 10:10,8.81,8.14,8.12
7/25/2013 10:20,8.78,8.13,8.13
7/25/2013 10:30,8.77,8.12,8.12
7/25/2013 10:40,8.77,8.13,8.11
7/25/2013 10:50,8.76,8.17,8.13
7/25/2013 11:00,8.77,8.17,8.15
7/25/2013 11:10,8.77,8.17,8.14
7/25/2013 11:20,8.78,8.15,8.16
7/25/2013 11:30,8.75,8.15,8.16
7/25/2013 11:40,8.7,8.16,8.17
7/25/2013 11:50,8.66,8.16,8.14
7/25/2013 12:00,8.66,8.16,8.13
7/25/2013 12:10,8.67,8.16,8.11
7/25/2013 12:20,8.65,8.17,8.11
7/25/2013 12:30,8.64,8.17,8.11
7/25/2013 12:39,8.65,8.18,8.11
7/25/2013 12:50,8.62,8.18,8.11
7/25/2013 13:00,8.6,8.18,8.1
7/25/2013 13:10,8.6,8.18,8.1
7/25/2013 13:20,8.59,8.18,8.1
7/25/2013 13:30,8.55,8.18,8.1
7/25/2013 13:40,8.56,8.18,8.1
7/25/2013 13:50,8.55,8.19,8.09
7/25/2013 14:00,8.55,8.19,8.09
7/25/2013 14:10,8.54,8.19,8.09
7/25/2013 14:20,8.54,8.19,8.09
7/25/2013 14:30,8.6,8.2,8.09
7/25/2013 14:40,8.63,8.19,8.09
7/25/2013 14:50,8.65,8.2,8.08
7/25/2013 15:00,8.7,8.2,8.08
7/25/2013 15:10,8.69,8.2,8.08
7/25/2013 15:20,8.68,8.21,8.08
7/25/2013 15:30,8.75,8.21,8.08
7/25/2013 15:40,8.73,8.22,8.08
7/25/2013 15:50,8.78,8.25,8.08
7/25/2013 16:00,8.8,8.29,8.09
7/25/2013 16:10,8.81,8.33,8.1
7/25/2013 16:20,8.78,8.32,8.15
7/25/2013 16:30,8.84,8.34,8.15
7/25/2013 16:40,8.9,8.33,8.14
7/25/2013 16:50,9.04,8.32,8.12
7/25/2013 17:00,9.11,8.31,8.13
7/25/2013 17:10,9.18,8.34,8.13
