datetime,Temp at 8m (°C),Temp at 10m (°C),Temp at 12m (°C)
7/25/2013 10:00,16.29,13.1,11.51
7/25/2013 10:10,16.2,13.1,11.49
7/25/2013 10:20,16.24,13.05,11.51
7/25/2013 10:30,16.19,12.92,11.46
7/25/2013 10:40,16.08,12.91,11.36
7/25/2013 10:50,15.94,13,11.3
7/25/2013 11:00,15.93,12.95,11.2
7/25/2013 11:10,15.88,12.88,11.27
7/25/2013 11:20,15.68,12.91,11.13
7/25/2013 11:30,15.73,12.94,10.99
7/25/2013 11:40,15.54,12.95,10.84
7/25/2013 11:50,15.76,12.77,10.66
7/25/2013 12:00,15.84,12.79,10.46
7/25/2013 12:10,15.73,12.61,10.42
7/25/2013 12:20,15.46,12.47,10.37
7/25/2013 12:30,15.45,12.39,10.33
7/25/2013 12:39,15.42,12.17,10.3
7/25/2013 12:50,15.31,11.92,10.35
7/25/2013 13:00,15.22,12.05,10.53
7/25/2013 13:10,15.3,12.22,10.49
7/25/2013 13:20,15.21,12.36,10.5
7/25/2013 13:30,15.34,12.19,10.78
7/25/2013 13:40,15.38,12.35,10.98
7/25/2013 13:50,15.42,12.36,11.02
7/25/2013 14:00,15.72,12.57,11.07
7/25/2013 14:10,15.74,12.43,11.05
7/25/2013 14:20,15.93,12.69,10.93
7/25/2013 14:30,16,12.76,10.79
7/25/2013 14:40,15.98,12.83,10.92
7/25/2013 14:50,15.94,12.85,11.03
7/25/2013 15:00,16.09,12.89,11.06
7/25/2013 15:10,16.09,12.88,10.99
7/25/2013 15:20,16.13,12.73,11.02
7/25/2013 15:30,16.09,12.76,11.01
7/25/2013 15:40,16.09,12.72,11.14
7/25/2013 15:50,16.07,12.77,11.15
7/25/2013 16:00,16.08,12.73,11.2
7/25/2013 16:10,15.9,12.88,11.15
7/25/2013 16:20,15.94,12.94,11.16
7/25/2013 16:30,16.17,12.93,11.15
7/25/2013 16:40,16.12,12.8,11.15
7/25/2013 16:50,16.17,12.66,11.13
7/25/2013 17:00,16.05,12.63,11.03
7/25/2013 17:10,15.93,12.71,10.96
7/25/2013 17:19,15.92,12.71,10.99
7/25/2013 17:30,15.76,12.71,10.99
7/25/2013 17:40,15.68,12.75,10.98
7/25/2013 17:50,15.63,12.92,11.06
7/25/2013 18:00,15.59,12.88,11.23
7/25/2013 18:10,15.53,13.03,11.33
7/25/2013 18:20,15.6,13.07,11.35
7/25/2013 18:30,15.78,12.94,11.42
7/25/2013 18:40,15.97,12.98,11.39
7/25/2013 18:50,16.12,12.94,11.5
7/25/2013 19:00,15.99,13.11,11.55
7/25/2013 19:10,15.95,13.1,11.47
7/25/2013 19:20,15.93,12.91,11.41
7/25/2013 19:30,15.78,13,11.6
7/25/2013 19:40,15.59,13,11.59
7/25/2013 19:50,15.7,12.93,11.54
7/25/2013 20:00,15.93,12.81,11.39
7/25/2013 20:10,16.03,12.77,11.27
7/25/2013 20:20,16.27,12.72,11.32
7/25/2013 20:30,16.26,12.65,11.3
7/25/2013 20:39,16.26,12.62,11.3
7/25/2013 20:50,16.31,12.62,11.29
7/25/2013 21:00,16.39,12.58,11.32
7/25/2013 21:10,16.44,12.59,11.1
7/25/2013 21:20,16.48,12.55,11.1
7/25/2013 21:30,16.41,12.54,11.14
7/25/2013 21:40,16.26,12.51,11.3
7/25/2013 21:50,16.23,12.53,11.34
7/25/2013 22:00,16.28,12.55,11.12
7/25/2013 22:10,16.28,12.57,11.06
7/25/2013 22:20,16.15,12.49,11.01
7/25/2013 22:30,16.22,12.43,11.03
7/25/2013 22:40,16.3,12.34,11.1
7/25/2013 22:50,16.24,12.25,11.04
7/25/2013 23:00,16.21,12.26,11.14
7/25/2013 23:10,16.08,12.19,10.96
7/25/2013 23:20,16.03,12.28,10.85
7/25/2013 23:30,16.03,12.33,10.77
7/25/2013 23:40,16.05,12.2,10.69
7/25/2013 23:50,15.94,12.29,10.73
7/26/2013 0:00,16.16,12.19,10.7
7/26/2013 0:10,16.23,12.2,10.76
7/26/2013 0:20,16.16,12.15,10.79
7/26/2013 0:30,16.36,12.03,10.79
7/26/2013 0:39,16.27,12.1,10.82
7/26/2013 0:50,16.36,12.14,10.76
7/26/2013 1:00,16.42,12.17,10.53
7/26/2013 1:10,16.45,12.13,10.76
7/26/2013 1:20,16.41,12.06,10.86
7/26/2013 1:30,16.44,12.08,10.87
7/26/2013 1:40,16.23,12.05,10.92
7/26/2013 1:50,16.38,12.2,10.93
7/26/2013 2:00,16.29,12.22,10.95
7/26/2013 2:10,16.23,12.23,10.98
7/26/2013 2:20,15.99,12.41,11.02
7/26/2013 2:30,16.07,12.32,11.13
7/26/2013 2:40,16.1,12.53,11.13
7/26/2013 2:50,15.78,12.32,11.18
7/26/2013 3:00,15.94,12.53,10.99
7/26/2013 3:10,16.1,12.6,11
7/26/2013 3:20,16.13,12.43,11.1
7/26/2013 3:30,16.06,12.42,11.22
7/26/2013 3:40,16.3,12.48,11.15
7/26/2013 3:50,16.2,12.51,11.21
7/26/2013 4:00,16.15,12.36,11.18
7/26/2013 4:10,16.26,12.47,11.12
7/26/2013 4:20,16.53,12.31,11.06
7/26/2013 4:30,16.3,12.47,10.97
7/26/2013 4:40,16.46,12.49,10.93
7/26/2013 4:50,16.24,12.48,11
7/26/2013 5:00,16.44,12.58,10.84
7/26/2013 5:10,16.08,12.48,10.87
7/26/2013 5:19,16.21,12.32,10.92
7/26/2013 5:30,16.17,12.31,10.84
7/26/2013 5:40,16.31,12.33,10.96
7/26/2013 5:50,16.23,12.31,10.86
7/26/2013 6:00,16.02,12.22,10.87
7/26/2013 6:10,15.91,12.16,10.89
7/26/2013 6:20,15.93,12.24,10.89
7/26/2013 6:30,15.86,12.27,10.74
7/26/2013 6:40,15.8,12.31,10.75
7/26/2013 6:50,15.93,12.13,10.75
7/26/2013 7:00,16.04,12.15,10.73
7/26/2013 7:10,16.39,12.11,10.71
7/26/2013 7:20,16.25,12.17,10.74
7/26/2013 7:30,16.39,12.18,10.82
7/26/2013 7:40,16.42,12.15,10.91
7/26/2013 7:50,16.41,12.2,10.92
7/26/2013 8:00,16.34,12.28,10.94
7/26/2013 8:10,16.65,12.16,11.01
7/26/2013 8:20,16.4,12.31,11.01
7/26/2013 8:30,16.23,12.29,11.02
7/26/2013 8:39,16.42,12.3,11.02
7/26/2013 8:50,16.36,12.28,11.04
7/26/2013 9:00,16.28,12.23,10.98
7/26/2013 9:10,16.3,12.18,10.96
7/26/2013 9:20,16.01,12.15,10.95
7/26/2013 9:30,16.01,12.06,10.95
7/26/2013 9:40,16.31,12.11,10.94
7/26/2013 9:50,15.69,12.22,10.91
7/26/2013 10:00,16.1,12.25,10.82
7/26/2013 10:10,16.1,12.24,10.83
7/26/2013 10:20,15.99,12.33,10.89
7/26/2013 10:30,15.79,12.39,10.86
7/26/2013 10:40,15.92,12.26,10.81
7/26/2013 10:50,15.78,12.47,10.68
7/26/2013 11:00,15.87,12.55,10.78
7/26/2013 11:10,15.97,12.45,10.98
7/26/2013 11:20,16.02,12.35,10.95
7/26/2013 11:30,16.28,12.47,11.01
7/26/2013 11:40,16.19,12.33,10.99
7/26/2013 11:50,16.44,12.26,10.92
7/26/2013 12:00,16.31,12.31,10.92
7/26/2013 12:10,16.53,12.22,10.99
7/26/2013 12:20,16.17,12.35,11.23
7/26/2013 12:30,16.49,12.42,11.13
7/26/2013 12:40,16.98,12.45,11.18
7/26/2013 12:50,17.22,12.4,11.23
7/26/2013 13:00,17.46,12.56,11.28
7/26/2013 13:10,17.66,12.62,11.2
7/26/2013 13:19,17.71,12.54,11.31
7/26/2013 13:30,17.92,12.63,11.47
7/26/2013 13:50,18.51,12.58,11.49
7/26/2013 14:00,19.4,12.61,11.45
7/26/2013 14:10,18.59,12.71,11.51
7/26/2013 14:20,19.24,12.83,11.56
7/26/2013 14:30,18.71,12.62,11.58
7/26/2013 14:40,18.77,12.6,11.58
7/26/2013 14:50,18.24,12.62,11.53
7/26/2013 15:00,17.91,12.61,11.49
7/26/2013 15:10,17.49,12.61,11.47
7/26/2013 15:20,17.27,12.5,11.34
7/26/2013 15:30,17.09,12.55,11.23
7/26/2013 15:40,16.64,12.47,11.32
7/26/2013 15:50,16.75,12.54,11.22
7/26/2013 16:00,16.24,12.28,11.26
7/26/2013 16:10,16.31,12.25,11.17
7/26/2013 16:20,16.04,12.2,11.19
7/26/2013 16:30,15.95,12.35,11.03
7/26/2013 16:39,15.73,12.24,11.07
7/26/2013 16:50,15.79,12.2,10.94
7/26/2013 17:00,15.66,12.17,10.93
7/26/2013 17:10,15.32,12.23,10.8
7/26/2013 17:20,15.77,12.06,10.68
7/26/2013 17:30,15.31,12.18,10.59
7/26/2013 17:40,15.35,12.1,10.57
7/26/2013 17:50,15.1,12.12,10.47
7/26/2013 18:00,15.06,11.96,10.48
7/26/2013 18:10,14.73,11.98,10.46
7/26/2013 18:20,14.92,11.91,10.48
7/26/2013 18:30,15.1,11.94,10.46
7/26/2013 18:40,14.89,11.95,10.56
7/26/2013 18:50,14.9,11.99,10.62
7/26/2013 19:00,15.13,12.04,10.53
7/26/2013 19:10,15.05,12.03,10.6
7/26/2013 19:20,14.88,11.9,10.58
7/26/2013 19:30,14.83,12.06,10.69
7/26/2013 19:40,15.01,12.2,10.63
7/26/2013 19:50,15.08,12.23,10.64
7/26/2013 20:00,15.24,12.22,10.62
7/26/2013 20:10,15.33,12.17,10.52
7/26/2013 20:20,15.51,12.2,10.64
7/26/2013 20:30,15.57,12.24,10.79
7/26/2013 20:40,15.64,12.67,10.75
7/26/2013 20:50,15.67,12.39,10.66
7/26/2013 21:00,15.55,12.36,10.78
7/26/2013 21:10,15.59,12.54,11.05
7/26/2013 21:19,15.16,12.45,11.18
7/26/2013 21:30,15.21,12.26,11.08
7/26/2013 21:40,15.68,12.18,11.08
7/26/2013 21:50,15.57,12.15,10.96
7/26/2013 22:00,15.36,12.38,11.05
7/26/2013 22:10,15.22,12.28,11
7/26/2013 22:20,14.82,12.23,10.94
7/26/2013 22:30,15.28,12.13,11
7/26/2013 22:40,15.42,12.34,10.99
7/26/2013 22:50,15.31,12.34,11.06
7/26/2013 23:00,15.43,12.27,11.18
7/26/2013 23:10,14.8,12.36,11.25
7/26/2013 23:20,14.67,12.02,11.38
7/26/2013 23:30,15.07,11.93,11.33
7/26/2013 23:40,14.94,12.05,11.33
7/26/2013 23:50,15.01,12.1,11.28
7/27/2013 0:00,14.85,12.12,11.26
7/27/2013 0:10,14.44,12.33,11.35
7/27/2013 0:20,14.5,12.43,11.34
7/27/2013 0:30,14.41,12.5,11.39
7/27/2013 0:40,14.36,12.51,11.4
7/27/2013 0:50,14.01,12.54,11.42
7/27/2013 1:00,13.99,12.58,11.34
7/27/2013 1:10,13.96,12.64,11.33
7/27/2013 1:19,14.18,12.69,11.32
7/27/2013 1:30,14.12,12.78,11.27
7/27/2013 1:40,14.01,12.82,11.21
7/27/2013 1:50,14.32,12.71,11.32
7/27/2013 2:00,14.51,12.8,11.33
7/27/2013 2:10,14.82,12.83,11.43
7/27/2013 2:20,14.84,12.95,11.38
7/27/2013 2:30,14.9,12.95,11.39
7/27/2013 2:40,14.89,12.97,11.46
7/27/2013 2:50,15.02,12.96,11.48
7/27/2013 3:00,15,12.97,11.5
7/27/2013 3:10,15.07,12.85,11.57
7/27/2013 3:20,15.1,12.63,11.64
7/27/2013 3:30,15.1,12.66,11.64
7/27/2013 3:40,15.16,12.64,11.65
7/27/2013 3:50,15.19,12.61,11.65
7/27/2013 4:00,15.21,12.52,11.62
7/27/2013 4:10,15.34,12.61,11.59
7/27/2013 4:20,15.37,12.63,11.58
7/27/2013 4:30,15.34,12.65,11.59
7/27/2013 4:39,15.43,12.84,11.64
7/27/2013 4:50,15.21,12.85,11.66
7/27/2013 5:00,15.21,12.93,11.64
7/27/2013 5:10,15.22,13,11.6
7/27/2013 5:20,15.11,12.98,11.61
7/27/2013 5:30,15.17,13.05,11.58
7/27/2013 5:40,15.09,12.94,11.56
7/27/2013 5:50,15.11,12.88,11.55
7/27/2013 6:00,15.12,12.91,11.52
7/27/2013 6:10,15.09,12.89,11.51
7/27/2013 6:20,15.15,12.88,11.4
7/27/2013 6:30,15.21,12.81,11.34
7/27/2013 6:40,15.29,12.93,11.31
7/27/2013 6:50,15.34,12.93,11.3
7/27/2013 7:00,15.34,12.9,11.32
7/27/2013 7:10,15.46,12.8,11.36
7/27/2013 7:20,15.54,12.72,11.39
7/27/2013 7:30,15.61,12.81,11.34
7/27/2013 7:40,15.69,12.95,11.25
7/27/2013 7:50,15.72,13,11.2
7/27/2013 8:00,15.77,12.93,11.16
7/27/2013 8:10,15.84,12.92,11.04
7/27/2013 8:20,15.85,12.97,10.89
7/27/2013 8:30,15.77,13.08,10.97
7/27/2013 8:40,15.84,13.08,10.88
7/27/2013 8:50,16.01,13.03,10.94
7/27/2013 9:00,16.01,13.03,11.06
7/27/2013 9:10,16.24,13.02,11.08
7/27/2013 9:19,16.23,12.93,11.09
7/27/2013 9:30,16.19,12.86,11
7/27/2013 9:40,16.13,12.87,11.04
7/27/2013 9:50,16.14,13.09,11.07
7/27/2013 10:00,16.16,13.13,11.16
7/27/2013 10:10,16.15,13.09,11.25
7/27/2013 10:20,16.11,13.09,11.21
7/27/2013 10:30,15.99,13.04,11.23
7/27/2013 10:40,16.02,12.94,11.26
7/27/2013 10:50,16.05,12.92,11.25
7/27/2013 11:00,16.01,12.95,11.25
7/27/2013 11:10,15.92,12.99,11.21
7/27/2013 11:20,15.86,12.92,11.05
7/27/2013 11:30,15.87,13.01,11.1
7/27/2013 11:40,15.85,12.93,11
7/27/2013 11:50,15.76,12.93,10.92
7/27/2013 12:00,15.76,12.85,10.96
7/27/2013 12:10,15.85,12.8,10.98
7/27/2013 12:20,15.74,12.78,10.99
7/27/2013 12:30,15.74,12.88,10.93
7/27/2013 12:39,15.76,12.95,10.89
7/27/2013 12:50,15.7,12.86,10.98
7/27/2013 13:00,15.58,12.84,11.12
7/27/2013 13:10,15.72,12.81,11.2
7/27/2013 13:20,15.87,12.72,11.19
7/27/2013 13:30,16.08,12.58,11.06
7/27/2013 13:40,16.11,12.6,10.88
7/27/2013 13:50,16.19,12.64,10.64
7/27/2013 14:00,16.13,12.43,10.51
7/27/2013 14:10,16.22,12.51,10.5
7/27/2013 14:20,16.09,12.7,10.5
7/27/2013 14:30,16.11,12.55,10.47
7/27/2013 14:40,16.12,12.59,10.43
7/27/2013 14:50,16.03,12.56,10.45
7/27/2013 15:00,15.9,12.67,10.36
7/27/2013 15:10,15.84,12.62,10.29
7/27/2013 15:20,15.9,12.46,10.33
7/27/2013 15:30,15.76,12.35,10.34
7/27/2013 15:40,15.89,12.38,10.5
7/27/2013 15:50,15.68,12.44,10.54
7/27/2013 16:00,15.8,12.54,10.49
7/27/2013 16:10,15.8,12.53,10.47
7/27/2013 16:20,15.85,12.42,10.36
7/27/2013 16:30,15.63,12.22,10.35
7/27/2013 16:40,15.29,12.65,10.43
7/27/2013 16:50,15.36,12.73,10.46
7/27/2013 17:00,15.13,12.59,10.51
7/27/2013 17:10,15.04,12.36,10.55
7/27/2013 17:19,14.94,12.34,10.61
7/27/2013 17:30,14.87,12.37,10.73
7/27/2013 17:40,14.73,12.41,10.68
7/27/2013 17:50,15.1,12.46,10.93
7/27/2013 18:00,15.22,12.64,11.01
7/27/2013 18:10,15.12,12.52,10.81
7/27/2013 18:20,15.13,12.72,11.03
7/27/2013 18:30,15.23,12.59,10.81
7/27/2013 18:40,15,12.7,10.83
7/27/2013 18:50,15.36,12.73,10.87
7/27/2013 19:00,15.12,12.74,10.79
7/27/2013 19:10,15.75,12.59,10.84
7/27/2013 19:20,15.74,12.66,10.81
7/27/2013 19:30,15.7,12.77,10.82
7/27/2013 19:40,15.68,12.83,10.85
7/27/2013 19:50,15.81,12.82,10.85
7/27/2013 20:00,15.9,12.86,10.86
7/27/2013 20:10,16.14,12.87,10.85
7/27/2013 20:20,16.34,12.86,10.86
7/27/2013 20:30,16.37,12.87,11.07
7/27/2013 20:39,16.36,12.91,11
7/27/2013 20:50,16.16,12.95,10.85
7/27/2013 21:00,16.08,13.01,10.96
7/27/2013 21:10,16.13,13.01,11
7/27/2013 21:20,16.12,12.96,11.42
7/27/2013 21:30,15.84,12.94,11.54
7/27/2013 21:40,15.66,13,11.59
7/27/2013 21:50,15.7,12.89,11.61
7/27/2013 22:00,15.94,13.07,11.6
7/27/2013 22:10,15.8,12.99,11.62
7/27/2013 22:20,15.99,12.84,11.55
7/27/2013 22:30,16.22,12.88,11.47
7/27/2013 22:40,16.42,12.83,11.38
7/27/2013 22:50,16.46,12.55,11.38
7/27/2013 23:00,16.14,12.68,11.4
7/27/2013 23:10,15.81,12.84,11.41
7/27/2013 23:20,15.57,13.02,11.42
7/27/2013 23:30,15.66,13.11,11.41
7/27/2013 23:40,15.72,13.13,11.17
7/27/2013 23:50,15.89,12.86,11.38
7/28/2013 0:00,16.12,12.85,11.21
7/28/2013 0:10,16.12,12.82,11.41
7/28/2013 0:20,16.24,12.83,11.42
7/28/2013 0:30,16.21,12.87,11.37
7/28/2013 0:39,16.32,12.78,11.36
7/28/2013 0:50,16.3,12.74,11.31
7/28/2013 1:00,16.44,12.69,11.25
7/28/2013 1:10,16.46,12.7,11.06
7/28/2013 1:20,16.43,12.62,10.99
7/28/2013 1:30,16.59,12.46,10.94
7/28/2013 1:40,16.68,12.27,10.88
7/28/2013 1:50,16.59,12.18,10.85
7/28/2013 2:00,16.6,12.23,10.82
7/28/2013 2:10,16.58,12.37,10.78
7/28/2013 2:20,16.59,12.34,10.69
7/28/2013 2:30,16.56,12.36,10.71
7/28/2013 2:40,16.75,12.45,10.53
7/28/2013 2:50,16.83,12.44,10.38
7/28/2013 3:00,16.91,12.47,10.28
7/28/2013 3:10,16.98,12.53,10.32
7/28/2013 3:20,16.92,12.46,10.33
7/28/2013 3:30,16.84,12.47,10.36
7/28/2013 3:40,16.29,12.65,10.35
7/28/2013 3:50,16.33,12.54,10.43
7/28/2013 4:00,16.66,12.38,10.47
7/28/2013 4:10,16.58,12.43,10.48
7/28/2013 4:20,16.24,12.4,10.49
7/28/2013 4:30,16.15,12.5,10.48
7/28/2013 4:40,15.97,12.42,10.5
7/28/2013 4:50,16.11,12.29,10.49
7/28/2013 5:00,16.06,12.23,10.55
7/28/2013 5:10,15.91,12.33,10.56
7/28/2013 5:19,15.88,12.44,10.57
7/28/2013 5:30,15.82,12.36,10.59
7/28/2013 5:40,15.81,12.13,10.57
