datetime,Temp at 1m (°C),Temp at 8m (°C),Temp at 30m (°C)
7/25/2013 10:00,24.24,16.29,8.13
7/25/2013 10:10,24.24,16.2,8.12
7/25/2013 10:20,24.26,16.24,8.13
7/25/2013 10:30,24.26,16.19,8.12
7/25/2013 10:40,24.29,16.08,8.11
7/25/2013 10:50,24.29,15.94,8.13
7/25/2013 11:00,24.31,15.93,8.15
7/25/2013 11:10,24.34,15.88,8.14
7/25/2013 11:20,24.36,15.68,8.16
7/25/2013 11:30,24.38,15.73,8.16
7/25/2013 11:40,24.39,15.54,8.17
7/25/2013 11:50,24.41,15.76,8.14
7/25/2013 12:00,24.43,15.84,8.13
7/25/2013 12:10,24.46,15.73,8.11
7/25/2013 12:20,24.49,15.46,8.11
7/25/2013 12:30,24.52,15.45,8.11
7/25/2013 12:39,24.53,15.42,8.11
7/25/2013 12:50,24.55,15.31,8.11
7/25/2013 13:00,24.59,15.22,8.1
7/25/2013 13:10,24.61,15.3,8.1
7/25/2013 13:20,24.63,15.21,8.1
7/25/2013 13:30,24.61,15.34,8.1
7/25/2013 13:40,24.64,15.38,8.1
7/25/2013 13:50,24.65,15.42,8.09
7/25/2013 14:00,24.78,15.72,8.09
7/25/2013 14:10,24.72,15.74,8.09
7/25/2013 14:20,24.74,15.93,8.09
7/25/2013 14:30,24.76,16,8.09
7/25/2013 14:40,24.75,15.98,8.09
7/25/2013 14:50,24.76,15.94,8.08
7/25/2013 15:00,24.77,16.09,8.08
7/25/2013 15:10,24.77,16.09,8.08
7/25/2013 15:20,24.8,16.13,8.08
7/25/2013 15:30,24.8,16.09,8.08
7/25/2013 15:40,24.8,16.09,8.08
7/25/2013 15:50,24.82,16.07,8.08
7/25/2013 16:00,24.81,16.08,8.09
7/25/2013 16:10,24.88,15.9,8.1
7/25/2013 16:20,24.84,15.94,8.15
7/25/2013 16:30,24.96,16.17,8.15
7/25/2013 16:40,25.07,16.12,8.14
7/25/2013 16:50,25.22,16.17,8.12
7/25/2013 17:00,25.1,16.05,8.13
7/25/2013 17:10,25.15,15.93,8.13
7/25/2013 17:19,25.1,15.92,8.13
7/25/2013 17:30,25.08,15.76,8.13
7/25/2013 17:40,24.97,15.68,8.14
7/25/2013 17:50,25.01,15.63,8.14
7/25/2013 18:00,24.99,15.59,8.13
7/25/2013 18:10,25,15.53,8.12
7/25/2013 18:20,24.99,15.6,8.12
7/25/2013 18:30,24.95,15.78,8.11
7/25/2013 18:40,24.93,15.97,8.11
7/25/2013 18:50,24.94,16.12,8.11
7/25/2013 19:00,24.88,15.99,8.1
7/25/2013 19:10,24.88,15.95,8.1
7/25/2013 19:20,24.86,15.93,8.09
7/25/2013 19:30,24.82,15.78,8.08
7/25/2013 19:40,24.81,15.59,8.09
7/25/2013 19:50,24.78,15.7,8.09
7/25/2013 20:00,24.75,15.93,8.09
7/25/2013 20:10,24.73,16.03,8.07
7/25/2013 20:20,24.7,16.27,8.07
7/25/2013 20:30,24.69,16.26,8.08
7/25/2013 20:39,24.65,16.26,8.09
7/25/2013 20:50,24.63,16.31,8.09
7/25/2013 21:00,24.62,16.39,8.09
7/25/2013 21:10,24.6,16.44,8.09
7/25/2013 21:20,24.6,16.48,8.09
7/25/2013 21:30,24.55,16.41,8.1
7/25/2013 21:40,24.57,16.26,8.1
7/25/2013 21:50,24.53,16.23,8.1
7/25/2013 22:00,24.52,16.28,8.1
7/25/2013 22:10,24.5,16.28,8.1
7/25/2013 22:20,24.47,16.15,8.1
7/25/2013 22:30,24.45,16.22,8.1
7/25/2013 22:40,24.44,16.3,8.1
7/25/2013 22:50,24.44,16.24,8.1
7/25/2013 23:00,24.42,16.21,8.1
7/25/2013 23:10,24.39,16.08,8.12
7/25/2013 23:20,24.39,16.03,8.12
7/25/2013 23:30,24.38,16.03,8.11
7/25/2013 23:40,24.36,16.05,8.11
7/25/2013 23:50,24.36,15.94,8.11
7/26/2013 0:00,24.35,16.16,8.12
7/26/2013 0:10,24.33,16.23,8.13
7/26/2013 0:20,24.32,16.16,8.12
7/26/2013 0:30,24.29,16.36,8.12
7/26/2013 0:39,24.28,16.27,8.13
7/26/2013 0:50,24.28,16.36,8.13
7/26/2013 1:00,24.23,16.42,8.12
7/26/2013 1:10,24.25,16.45,8.12
7/26/2013 1:20,24.22,16.41,8.12
7/26/2013 1:30,24.23,16.44,8.12
7/26/2013 1:40,24.21,16.23,8.12
7/26/2013 1:50,24.21,16.38,8.12
7/26/2013 2:00,24.2,16.29,8.12
7/26/2013 2:10,24.2,16.23,8.12
7/26/2013 2:20,24.19,15.99,8.12
7/26/2013 2:30,24.16,16.07,8.12
7/26/2013 2:40,24.15,16.1,8.13
7/26/2013 2:50,24.12,15.78,8.12
7/26/2013 3:00,24.11,15.94,8.12
7/26/2013 3:10,24.11,16.1,8.14
7/26/2013 3:20,24.09,16.13,8.14
7/26/2013 3:30,24.06,16.06,8.14
7/26/2013 3:40,24.09,16.3,8.13
7/26/2013 3:50,24.07,16.2,8.14
7/26/2013 4:00,24.04,16.15,8.15
7/26/2013 4:10,24.07,16.26,8.14
7/26/2013 4:20,24.07,16.53,8.14
7/26/2013 4:30,24.06,16.3,8.14
7/26/2013 4:40,24.05,16.46,8.14
7/26/2013 4:50,24.04,16.24,8.14
7/26/2013 5:00,24.02,16.44,8.14
7/26/2013 5:10,24.02,16.08,8.14
7/26/2013 5:19,24,16.21,8.14
7/26/2013 5:30,24,16.17,8.13
7/26/2013 5:40,24,16.31,8.14
7/26/2013 5:50,23.99,16.23,8.13
7/26/2013 6:00,23.99,16.02,8.13
7/26/2013 6:10,23.98,15.91,8.14
7/26/2013 6:20,23.95,15.93,8.14
7/26/2013 6:30,23.95,15.86,8.13
7/26/2013 6:40,23.94,15.8,8.14
7/26/2013 6:50,23.92,15.93,8.13
7/26/2013 7:00,23.92,16.04,8.13
7/26/2013 7:10,23.91,16.39,8.13
7/26/2013 7:20,23.89,16.25,8.13
7/26/2013 7:30,23.91,16.39,8.13
7/26/2013 7:40,23.91,16.42,8.13
7/26/2013 7:50,23.91,16.41,8.13
7/26/2013 8:00,23.88,16.34,8.13
7/26/2013 8:10,23.88,16.65,8.14
7/26/2013 8:20,23.89,16.4,8.13
7/26/2013 8:30,23.87,16.23,8.13
7/26/2013 8:39,23.88,16.42,8.14
7/26/2013 8:50,23.86,16.36,8.13
7/26/2013 9:00,23.86,16.28,8.13
7/26/2013 9:10,23.87,16.3,8.14
7/26/2013 9:20,23.86,16.01,8.13
7/26/2013 9:30,23.85,16.01,8.14
7/26/2013 9:40,23.84,16.31,8.14
7/26/2013 9:50,23.84,15.69,8.14
7/26/2013 10:00,23.84,16.1,8.14
7/26/2013 10:10,23.83,16.1,8.14
7/26/2013 10:20,23.82,15.99,8.14
7/26/2013 10:30,23.84,15.79,8.14
7/26/2013 10:40,23.83,15.92,8.13
7/26/2013 10:50,23.83,15.78,8.13
7/26/2013 11:00,23.83,15.87,8.13
7/26/2013 11:10,23.8,15.97,8.13
7/26/2013 11:20,23.8,16.02,8.13
7/26/2013 11:30,23.8,16.28,8.12
7/26/2013 11:40,23.81,16.19,8.13
7/26/2013 11:50,23.81,16.44,8.13
7/26/2013 12:00,23.81,16.31,8.12
7/26/2013 12:10,23.81,16.53,8.12
7/26/2013 12:20,23.82,16.17,8.11
7/26/2013 12:30,23.83,16.49,8.11
7/26/2013 12:40,23.82,16.98,8.11
7/26/2013 12:50,23.81,17.22,8.11
7/26/2013 13:00,23.81,17.46,8.11
7/26/2013 13:10,23.81,17.66,8.11
7/26/2013 13:19,23.82,17.71,8.11
7/26/2013 13:30,23.83,17.92,8.11
7/26/2013 13:50,23.83,18.51,8.11
7/26/2013 14:00,23.83,19.4,8.11
7/26/2013 14:10,23.84,18.59,8.11
7/26/2013 14:20,23.83,19.24,8.11
7/26/2013 14:30,23.83,18.71,8.11
7/26/2013 14:40,23.84,18.77,8.11
7/26/2013 14:50,23.85,18.24,8.11
7/26/2013 15:00,23.85,17.91,8.11
7/26/2013 15:10,23.84,17.49,8.11
7/26/2013 15:20,23.83,17.27,8.12
7/26/2013 15:30,23.83,17.09,8.12
7/26/2013 15:40,23.82,16.64,8.12
7/26/2013 15:50,23.83,16.75,8.13
7/26/2013 16:00,23.85,16.24,8.13
7/26/2013 16:10,23.85,16.31,8.13
7/26/2013 16:20,23.86,16.04,8.13
7/26/2013 16:30,23.85,15.95,8.14
7/26/2013 16:39,23.85,15.73,8.14
7/26/2013 16:50,23.83,15.79,8.14
7/26/2013 17:00,23.84,15.66,8.13
7/26/2013 17:10,23.82,15.32,8.13
7/26/2013 17:20,23.84,15.77,8.13
7/26/2013 17:30,23.83,15.31,8.13
7/26/2013 17:40,23.83,15.35,8.13
7/26/2013 17:50,23.83,15.1,8.13
7/26/2013 18:00,23.83,15.06,8.13
7/26/2013 18:10,23.82,14.73,8.12
7/26/2013 18:20,23.81,14.92,8.12
7/26/2013 18:30,23.84,15.1,8.13
7/26/2013 18:40,23.83,14.89,8.12
7/26/2013 18:50,23.86,14.9,8.12
7/26/2013 19:00,23.89,15.13,8.12
7/26/2013 19:10,23.88,15.05,8.12
7/26/2013 19:20,23.88,14.88,8.12
7/26/2013 19:30,23.87,14.83,8.12
7/26/2013 19:40,23.85,15.01,8.12
7/26/2013 19:50,23.85,15.08,8.12
7/26/2013 20:00,23.86,15.24,8.12
7/26/2013 20:10,23.86,15.33,8.12
7/26/2013 20:20,23.85,15.51,8.12
7/26/2013 20:30,23.85,15.57,8.12
7/26/2013 20:40,23.85,15.64,8.12
7/26/2013 20:50,23.82,15.67,8.12
7/26/2013 21:00,23.84,15.55,8.12
7/26/2013 21:10,23.85,15.59,8.12
7/26/2013 21:19,23.84,15.16,8.11
7/26/2013 21:30,23.83,15.21,8.11
7/26/2013 21:40,23.85,15.68,8.11
7/26/2013 21:50,23.82,15.57,8.11
7/26/2013 22:00,23.83,15.36,8.12
7/26/2013 22:10,23.81,15.22,8.12
7/26/2013 22:20,23.81,14.82,8.11
7/26/2013 22:30,23.82,15.28,8.11
7/26/2013 22:40,23.81,15.42,8.1
7/26/2013 22:50,23.81,15.31,8.1
7/26/2013 23:00,23.81,15.43,8.1
7/26/2013 23:10,23.79,14.8,8.1
7/26/2013 23:20,23.78,14.67,8.09
7/26/2013 23:30,23.77,15.07,8.1
7/26/2013 23:40,23.78,14.94,8.1
7/26/2013 23:50,23.78,15.01,8.09
7/27/2013 0:00,23.76,14.85,8.09
7/27/2013 0:10,23.77,14.44,8.09
7/27/2013 0:20,23.77,14.5,8.09
7/27/2013 0:30,23.76,14.41,8.09
7/27/2013 0:40,23.75,14.36,8.1
7/27/2013 0:50,23.75,14.01,8.11
7/27/2013 1:00,23.75,13.99,8.12
7/27/2013 1:10,23.73,13.96,8.12
7/27/2013 1:19,23.72,14.18,8.12
7/27/2013 1:30,23.73,14.12,8.12
7/27/2013 1:40,23.72,14.01,8.12
7/27/2013 1:50,23.72,14.32,8.12
7/27/2013 2:00,23.71,14.51,8.12
7/27/2013 2:10,23.71,14.82,8.12
7/27/2013 2:20,23.71,14.84,8.13
7/27/2013 2:30,23.7,14.9,8.12
7/27/2013 2:40,23.68,14.89,8.13
7/27/2013 2:50,23.68,15.02,8.13
7/27/2013 3:00,23.66,15,8.13
7/27/2013 3:10,23.67,15.07,8.12
7/27/2013 3:20,23.66,15.1,8.12
7/27/2013 3:30,23.65,15.1,8.12
7/27/2013 3:40,23.63,15.16,8.12
7/27/2013 3:50,23.63,15.19,8.12
7/27/2013 4:00,23.64,15.21,8.12
7/27/2013 4:10,23.63,15.34,8.12
7/27/2013 4:20,23.6,15.37,8.12
7/27/2013 4:30,23.63,15.34,8.12
7/27/2013 4:39,23.6,15.43,8.12
7/27/2013 4:50,23.61,15.21,8.12
7/27/2013 5:00,23.61,15.21,8.12
7/27/2013 5:10,23.6,15.22,8.12
7/27/2013 5:20,23.59,15.11,8.12
7/27/2013 5:30,23.58,15.17,8.12
7/27/2013 5:40,23.59,15.09,8.12
7/27/2013 5:50,23.59,15.11,8.12
7/27/2013 6:00,23.57,15.12,8.12
7/27/2013 6:10,23.57,15.09,8.12
7/27/2013 6:20,23.57,15.15,8.12
7/27/2013 6:30,23.56,15.21,8.12
7/27/2013 6:40,23.57,15.29,8.11
7/27/2013 6:50,23.56,15.34,8.11
7/27/2013 7:00,23.57,15.34,8.11
7/27/2013 7:10,23.57,15.46,8.11
7/27/2013 7:20,23.57,15.54,8.11
7/27/2013 7:30,23.57,15.61,8.11
7/27/2013 7:40,23.58,15.69,8.11
7/27/2013 7:50,23.59,15.72,8.11
7/27/2013 8:00,23.59,15.77,8.11
7/27/2013 8:10,23.61,15.84,8.1
7/27/2013 8:20,23.62,15.85,8.1
7/27/2013 8:30,23.61,15.77,8.1
7/27/2013 8:40,23.64,15.84,8.1
7/27/2013 8:50,23.63,16.01,8.1
7/27/2013 9:00,23.65,16.01,8.11
7/27/2013 9:10,23.66,16.24,8.1
7/27/2013 9:19,23.66,16.23,8.1
7/27/2013 9:30,23.65,16.19,8.1
7/27/2013 9:40,23.65,16.13,8.1
7/27/2013 9:50,23.66,16.14,8.1
7/27/2013 10:00,23.69,16.16,8.11
7/27/2013 10:10,23.7,16.15,8.11
7/27/2013 10:20,23.71,16.11,8.11
7/27/2013 10:30,23.72,15.99,8.11
7/27/2013 10:40,23.74,16.02,8.12
7/27/2013 10:50,23.75,16.05,8.12
7/27/2013 11:00,23.76,16.01,8.11
7/27/2013 11:10,23.78,15.92,8.12
7/27/2013 11:20,23.82,15.86,8.12
7/27/2013 11:30,24.02,15.87,8.12
7/27/2013 11:40,24.13,15.85,8.12
7/27/2013 11:50,24.1,15.76,8.12
7/27/2013 12:00,24.04,15.76,8.12
7/27/2013 12:10,23.9,15.85,8.12
7/27/2013 12:20,23.86,15.74,8.12
7/27/2013 12:30,23.89,15.74,8.12
7/27/2013 12:39,24.26,15.76,8.13
7/27/2013 12:50,24.33,15.7,8.13
7/27/2013 13:00,24.37,15.58,8.13
7/27/2013 13:10,24.29,15.72,8.13
7/27/2013 13:20,24.34,15.87,8.13
7/27/2013 13:30,24.31,16.08,8.13
7/27/2013 13:40,24.18,16.11,8.13
7/27/2013 13:50,24.12,16.19,8.13
7/27/2013 14:00,24.26,16.13,8.13
7/27/2013 14:10,24.21,16.22,8.13
7/27/2013 14:20,24.31,16.09,8.13
7/27/2013 14:30,24.32,16.11,8.13
7/27/2013 14:40,24.26,16.12,8.13
7/27/2013 14:50,24.34,16.03,8.13
7/27/2013 15:00,24.33,15.9,8.13
7/27/2013 15:10,24.42,15.84,8.13
7/27/2013 15:20,24.42,15.9,8.13
7/27/2013 15:30,24.52,15.76,8.13
7/27/2013 15:40,24.52,15.89,8.12
7/27/2013 15:50,24.47,15.68,8.12
7/27/2013 16:00,24.57,15.8,8.12
7/27/2013 16:10,24.6,15.8,8.12
7/27/2013 16:20,24.59,15.85,8.12
7/27/2013 16:30,24.66,15.63,8.12
7/27/2013 16:40,25.24,15.29,8.12
7/27/2013 16:50,25.25,15.36,8.12
7/27/2013 17:00,25.27,15.13,8.12
7/27/2013 17:10,25.4,15.04,8.12
7/27/2013 17:19,25.33,14.94,8.12
7/27/2013 17:30,25.37,14.87,8.13
7/27/2013 17:40,25.44,14.73,8.13
7/27/2013 17:50,25.41,15.1,8.13
7/27/2013 18:00,25.49,15.22,8.13
7/27/2013 18:10,25.41,15.12,8.13
7/27/2013 18:20,25.29,15.13,8.14
7/27/2013 18:30,25.18,15.23,8.14
7/27/2013 18:40,25.05,15,8.15
7/27/2013 18:50,24.89,15.36,8.16
7/27/2013 19:00,24.83,15.12,8.15
7/27/2013 19:10,24.72,15.75,8.15
