datetime,Temp at 0.5m (°C),Temp at 1m (°C),Temp at 2m (°C),Temp at 4m (°C),Temp at 6m (°C)
7/25/2013 10:00,24.23,24.24,24.19,24.18,24.21
7/25/2013 10:10,24.23,24.24,24.19,24.15,24.21
7/25/2013 10:20,24.25,24.26,24.2,24.15,24.23
7/25/2013 10:30,24.26,24.26,24.21,24.18,24.23
7/25/2013 10:40,24.28,24.29,24.24,24.19,24.25
7/25/2013 10:50,24.29,24.29,24.23,24.19,24.24
7/25/2013 11:00,24.31,24.31,24.24,24.21,24.25
7/25/2013 11:10,24.35,24.34,24.25,24.22,24.24
7/25/2013 11:20,24.39,24.36,24.28,24.24,24.24
7/25/2013 11:30,24.41,24.38,24.27,24.23,24.23
7/25/2013 11:40,24.45,24.39,24.29,24.23,24.23
7/25/2013 11:50,24.47,24.41,24.3,24.23,24.23
7/25/2013 12:00,24.52,24.43,24.32,24.22,24.2
7/25/2013 12:10,24.6,24.46,24.33,24.23,24
7/25/2013 12:20,24.68,24.49,24.34,24.23,24.01
7/25/2013 12:30,24.65,24.52,24.35,24.24,23.84
7/25/2013 12:39,24.66,24.53,24.36,24.24,23.79
7/25/2013 12:50,24.7,24.55,24.37,24.24,23.73
7/25/2013 13:00,24.77,24.59,24.37,24.24,22.99
7/25/2013 13:10,24.93,24.61,24.38,24.23,22.31
7/25/2013 13:20,24.83,24.63,24.38,24.24,22.56
7/25/2013 13:30,24.84,24.61,24.38,24.24,22.26
7/25/2013 13:40,25,24.64,24.4,24.24,21.63
7/25/2013 13:50,25.14,24.65,24.39,24.26,21.05
7/25/2013 14:00,25.23,24.78,24.49,24.23,21.01
7/25/2013 14:10,25.11,24.72,24.44,24.27,20.91
7/25/2013 14:20,25.24,24.74,24.46,24.26,21.02
7/25/2013 14:30,25.12,24.76,24.48,24.27,21.07
7/25/2013 14:40,25.08,24.75,24.46,24.29,21.28
7/25/2013 14:50,25.14,24.76,24.49,24.29,21.12
7/25/2013 15:00,25.24,24.77,24.5,24.28,21.06
7/25/2013 15:10,25.2,24.77,24.52,24.31,21.25
7/25/2013 15:20,25.25,24.8,24.53,24.33,21.31
7/25/2013 15:30,25.33,24.8,24.52,24.35,21.47
7/25/2013 15:40,25.33,24.8,24.55,24.34,21.72
7/25/2013 15:50,25.5,24.82,24.53,24.34,21.74
7/25/2013 16:00,25.44,24.81,24.53,24.34,21.85
7/25/2013 16:10,25.4,24.88,24.56,24.35,22.1
7/25/2013 16:20,25.41,24.84,24.53,24.34,21.99
7/25/2013 16:30,25.4,24.96,24.51,24.35,22.09
7/25/2013 16:40,25.33,25.07,24.53,24.35,22.25
7/25/2013 16:50,25.27,25.22,24.55,24.35,22.34
7/25/2013 17:00,25.19,25.1,24.53,24.35,22.36
7/25/2013 17:10,25.17,25.15,24.56,24.36,22.36
7/25/2013 17:19,25.11,25.1,24.54,24.36,22.36
7/25/2013 17:30,25.08,25.08,24.61,24.36,22.59
7/25/2013 17:40,25.04,24.97,24.49,24.36,22.49
7/25/2013 17:50,25.03,25.01,24.49,24.36,22.4
7/25/2013 18:00,25,24.99,24.6,24.37,22.59
7/25/2013 18:10,25,25,24.51,24.36,22.7
7/25/2013 18:20,25,24.99,24.7,24.36,22.45
7/25/2013 18:30,24.97,24.95,24.68,24.37,22.34
7/25/2013 18:40,24.95,24.93,24.66,24.37,22.14
7/25/2013 18:50,24.95,24.94,24.79,24.34,22.4
7/25/2013 19:00,24.89,24.88,24.75,24.37,22.33
7/25/2013 19:10,24.87,24.88,24.81,24.36,21.41
7/25/2013 19:20,24.85,24.86,24.77,24.33,22
7/25/2013 19:30,24.81,24.82,24.72,24.3,22.38
7/25/2013 19:40,24.79,24.81,24.7,24.25,22.49
7/25/2013 19:50,24.77,24.78,24.7,24.26,22.57
7/25/2013 20:00,24.73,24.75,24.67,24.33,22.35
7/25/2013 20:10,24.72,24.73,24.63,24.34,21.88
7/25/2013 20:20,24.69,24.7,24.64,24.32,22
7/25/2013 20:30,24.68,24.69,24.63,24.33,22.15
7/25/2013 20:39,24.61,24.65,24.6,24.32,22.65
7/25/2013 20:50,24.63,24.63,24.6,24.32,22.1
7/25/2013 21:00,24.6,24.62,24.57,24.27,21.91
7/25/2013 21:10,24.58,24.6,24.55,24.24,21.62
7/25/2013 21:20,24.58,24.6,24.54,24.22,21.84
7/25/2013 21:30,24.54,24.55,24.5,24.21,21.63
7/25/2013 21:40,24.55,24.57,24.52,24.29,21.5
7/25/2013 21:50,24.51,24.53,24.48,24.22,22.02
7/25/2013 22:00,24.49,24.52,24.46,24.3,21.86
7/25/2013 22:10,24.48,24.5,24.44,24.29,21.79
7/25/2013 22:20,24.44,24.47,24.43,24.32,21.94
7/25/2013 22:30,24.46,24.45,24.41,24.4,21.58
7/25/2013 22:40,24.44,24.44,24.4,24.37,21.48
7/25/2013 22:50,24.41,24.44,24.38,24.35,21.41
7/25/2013 23:00,24.39,24.42,24.37,24.37,21.3
7/25/2013 23:10,24.37,24.39,24.35,24.35,21.38
7/25/2013 23:20,24.38,24.39,24.34,24.33,21.33
7/25/2013 23:30,24.36,24.38,24.32,24.32,21.97
7/25/2013 23:40,24.35,24.36,24.32,24.31,21.53
7/25/2013 23:50,24.34,24.36,24.31,24.3,21.87
7/26/2013 0:00,24.34,24.35,24.29,24.29,21.43
7/26/2013 0:10,24.31,24.33,24.29,24.27,21.84
7/26/2013 0:20,24.3,24.32,24.27,24.27,21.83
7/26/2013 0:30,24.28,24.29,24.25,24.26,21.81
7/26/2013 0:39,24.26,24.28,24.25,24.25,22.75
7/26/2013 0:50,24.27,24.28,24.21,24.22,22.34
7/26/2013 1:00,24.21,24.23,24.19,24.19,22.69
7/26/2013 1:10,24.23,24.25,24.2,24.2,22.73
7/26/2013 1:20,24.22,24.22,24.18,24.19,22.76
7/26/2013 1:30,24.22,24.23,24.19,24.18,22.77
7/26/2013 1:40,24.19,24.21,24.17,24.18,23.43
7/26/2013 1:50,24.2,24.21,24.17,24.17,23.58
7/26/2013 2:00,24.19,24.2,24.15,24.16,23.49
7/26/2013 2:10,24.17,24.2,24.15,24.14,23.61
7/26/2013 2:20,24.18,24.19,24.14,24.12,23.6
7/26/2013 2:30,24.14,24.16,24.11,24.11,23.64
7/26/2013 2:40,24.14,24.15,24.1,24.1,23.68
7/26/2013 2:50,24.11,24.12,24.09,24.09,23.65
7/26/2013 3:00,24.09,24.11,24.07,24.07,23.98
7/26/2013 3:10,24.09,24.11,24.06,24.06,23.74
7/26/2013 3:20,24.08,24.09,24.05,24.05,24.09
7/26/2013 3:30,24.05,24.06,24.04,24.03,23.87
7/26/2013 3:40,24.07,24.09,24.04,24.03,23.97
7/26/2013 3:50,24.05,24.07,24.02,24.03,24.01
7/26/2013 4:00,24.04,24.04,24.01,24.02,24.09
7/26/2013 4:10,24.06,24.07,24.02,24.02,23.95
7/26/2013 4:20,24.06,24.07,24.01,24,24.03
7/26/2013 4:30,24.05,24.06,24.01,24,23.95
7/26/2013 4:40,24.03,24.05,24,24,24.07
7/26/2013 4:50,24.03,24.04,24,23.98,24.04
7/26/2013 5:00,23.99,24.02,23.98,23.98,24.07
7/26/2013 5:10,24.01,24.02,23.97,23.98,24.07
7/26/2013 5:19,23.99,24,23.94,23.95,24
7/26/2013 5:30,23.98,24,23.96,23.95,24.05
7/26/2013 5:40,23.99,24,23.95,23.95,23.95
7/26/2013 5:50,23.97,23.99,23.94,23.94,24.02
7/26/2013 6:00,23.97,23.99,23.94,23.94,24.03
7/26/2013 6:10,23.96,23.98,23.93,23.93,23.99
7/26/2013 6:20,23.94,23.95,23.91,23.91,24.01
7/26/2013 6:30,23.91,23.95,23.9,23.91,23.97
7/26/2013 6:40,23.91,23.94,23.89,23.89,23.99
7/26/2013 6:50,23.89,23.92,23.87,23.87,23.98
7/26/2013 7:00,23.91,23.92,23.88,23.89,23.97
7/26/2013 7:10,23.91,23.91,23.87,23.88,23.97
7/26/2013 7:20,23.88,23.89,23.85,23.87,23.98
7/26/2013 7:30,23.89,23.91,23.86,23.87,23.96
7/26/2013 7:40,23.9,23.91,23.87,23.87,23.95
7/26/2013 7:50,23.89,23.91,23.86,23.86,23.96
7/26/2013 8:00,23.86,23.88,23.83,23.84,23.95
7/26/2013 8:10,23.87,23.88,23.84,23.84,23.94
7/26/2013 8:20,23.88,23.89,23.83,23.83,23.93
7/26/2013 8:30,23.85,23.87,23.83,23.83,23.93
7/26/2013 8:39,23.85,23.88,23.83,23.83,23.93
7/26/2013 8:50,23.85,23.86,23.81,23.82,23.91
7/26/2013 9:00,23.85,23.86,23.81,23.81,23.91
7/26/2013 9:10,23.86,23.87,23.82,23.81,23.89
7/26/2013 9:20,23.84,23.86,23.8,23.8,23.89
7/26/2013 9:30,23.83,23.85,23.79,23.8,23.9
7/26/2013 9:40,23.83,23.84,23.79,23.8,23.9
7/26/2013 9:50,23.82,23.84,23.79,23.79,23.89
7/26/2013 10:00,23.83,23.84,23.79,23.79,23.83
7/26/2013 10:10,23.81,23.83,23.78,23.78,23.87
7/26/2013 10:20,23.82,23.82,23.78,23.78,23.83
7/26/2013 10:30,23.82,23.84,23.78,23.78,23.87
7/26/2013 10:40,23.82,23.83,23.79,23.78,23.87
7/26/2013 10:50,23.81,23.83,23.78,23.78,23.87
7/26/2013 11:00,23.82,23.83,23.78,23.77,23.86
7/26/2013 11:10,23.78,23.8,23.76,23.76,23.86
7/26/2013 11:20,23.78,23.8,23.76,23.76,23.86
7/26/2013 11:30,23.79,23.8,23.75,23.75,23.86
7/26/2013 11:40,23.8,23.81,23.76,23.76,23.85
7/26/2013 11:50,23.8,23.81,23.76,23.76,23.84
7/26/2013 12:00,23.8,23.81,23.77,23.77,23.86
7/26/2013 12:10,23.8,23.81,23.76,23.76,23.85
7/26/2013 12:20,23.8,23.82,23.77,23.76,23.84
7/26/2013 12:30,23.82,23.83,23.78,23.77,23.86
7/26/2013 12:40,23.81,23.82,23.77,23.77,23.86
7/26/2013 12:50,23.8,23.81,23.76,23.76,23.81
7/26/2013 13:00,23.8,23.81,23.76,23.76,23.85
7/26/2013 13:10,23.8,23.81,23.77,23.76,23.81
7/26/2013 13:19,23.82,23.82,23.77,23.77,23.86
7/26/2013 13:30,23.83,23.83,23.77,23.76,23.83
7/26/2013 13:50,23.82,23.83,23.78,23.77,23.84
7/26/2013 14:00,23.81,23.83,23.78,23.75,23.83
7/26/2013 14:10,23.83,23.84,23.78,23.78,23.85
7/26/2013 14:20,23.82,23.83,23.78,23.77,23.86
7/26/2013 14:30,23.83,23.83,23.78,23.77,23.85
7/26/2013 14:40,23.83,23.84,23.78,23.79,23.85
7/26/2013 14:50,23.83,23.85,23.79,23.78,23.86
7/26/2013 15:00,23.84,23.85,23.79,23.79,23.87
7/26/2013 15:10,23.83,23.84,23.79,23.78,23.88
7/26/2013 15:20,23.82,23.83,23.79,23.79,23.89
7/26/2013 15:30,23.82,23.83,23.78,23.78,23.88
7/26/2013 15:40,23.81,23.82,23.77,23.77,23.87
7/26/2013 15:50,23.81,23.83,23.78,23.75,23.86
7/26/2013 16:00,23.83,23.85,23.79,23.79,23.87
7/26/2013 16:10,23.84,23.85,23.8,23.8,23.85
7/26/2013 16:20,23.84,23.86,23.81,23.81,23.88
7/26/2013 16:30,23.84,23.85,23.8,23.8,23.88
7/26/2013 16:39,23.84,23.85,23.79,23.79,23.89
7/26/2013 16:50,23.81,23.83,23.79,23.8,23.87
7/26/2013 17:00,23.83,23.84,23.79,23.79,23.87
7/26/2013 17:10,23.82,23.82,23.78,23.79,23.87
7/26/2013 17:20,23.83,23.84,23.78,23.78,23.82
7/26/2013 17:30,23.82,23.83,23.79,23.78,23.88
7/26/2013 17:40,23.82,23.83,23.78,23.77,23.87
7/26/2013 17:50,23.82,23.83,23.78,23.78,23.88
7/26/2013 18:00,23.82,23.83,23.78,23.78,23.85
7/26/2013 18:10,23.81,23.82,23.77,23.77,23.84
7/26/2013 18:20,23.8,23.81,23.77,23.77,23.84
7/26/2013 18:30,23.83,23.84,23.78,23.77,23.85
7/26/2013 18:40,23.82,23.83,23.78,23.79,23.84
7/26/2013 18:50,23.85,23.86,23.82,23.82,23.84
7/26/2013 19:00,23.88,23.89,23.83,23.81,23.8
7/26/2013 19:10,23.87,23.88,23.83,23.83,23.79
7/26/2013 19:20,23.87,23.88,23.83,23.83,23.81
7/26/2013 19:30,23.85,23.87,23.82,23.82,23.81
7/26/2013 19:40,23.83,23.85,23.8,23.79,23.85
7/26/2013 19:50,23.84,23.85,23.8,23.81,23.86
7/26/2013 20:00,23.83,23.86,23.81,23.79,23.78
7/26/2013 20:10,23.84,23.86,23.81,23.8,23.84
7/26/2013 20:20,23.84,23.85,23.8,23.81,23.79
7/26/2013 20:30,23.83,23.85,23.8,23.8,23.82
7/26/2013 20:40,23.84,23.85,23.8,23.8,23.82
7/26/2013 20:50,23.81,23.82,23.78,23.79,23.87
7/26/2013 21:00,23.83,23.84,23.8,23.8,23.84
7/26/2013 21:10,23.82,23.85,23.8,23.8,23.79
7/26/2013 21:19,23.82,23.84,23.79,23.8,23.89
7/26/2013 21:30,23.81,23.83,23.79,23.79,23.87
7/26/2013 21:40,23.84,23.85,23.79,23.8,23.82
7/26/2013 21:50,23.81,23.82,23.78,23.79,23.85
7/26/2013 22:00,23.82,23.83,23.77,23.79,23.88
7/26/2013 22:10,23.79,23.81,23.77,23.78,23.85
7/26/2013 22:20,23.79,23.81,23.77,23.78,23.82
7/26/2013 22:30,23.81,23.82,23.77,23.76,23.74
7/26/2013 22:40,23.79,23.81,23.76,23.76,23.75
7/26/2013 22:50,23.79,23.81,23.76,23.76,23.75
7/26/2013 23:00,23.79,23.81,23.75,23.74,23.7
7/26/2013 23:10,23.78,23.79,23.76,23.75,23.68
7/26/2013 23:20,23.76,23.78,23.74,23.74,23.7
7/26/2013 23:30,23.76,23.77,23.74,23.73,23.73
7/26/2013 23:40,23.77,23.78,23.73,23.73,23.72
